age,income,economic_status,employment,car_avail,bike_avail,pt_abo_avail,dist_group,main_mode,share
18 - 25,,,,,,,0 - 1000,ride,0.0020741803522305053
18 - 25,,,,,,,0 - 1000,walk,0.1351326848167619
18 - 25,,,,,,,1000 - 2000,bike,0.03396527152384182
18 - 25,,,,,,,1000 - 2000,car,0.009995183869916416
18 - 25,,,,,,,1000 - 2000,pt,0.024513641618001722
18 - 25,,,,,,,1000 - 2000,ride,0.0026681998585366875
18 - 25,,,,,,,1000 - 2000,walk,0.0454726308118391
18 - 25,,,,,,,2000 - 5000,bike,0.06318107428470454
18 - 25,,,,,,,2000 - 5000,car,0.023251875706620243
18 - 25,,,,,,,2000 - 5000,pt,0.10942869085194808
18 - 25,,,,,,,2000 - 5000,ride,0.010494962098131744
18 - 25,,,,,,,2000 - 5000,walk,0.015841120495424313
18 - 25,,,,,,,5000 - 10000,bike,0.024391958956895745
18 - 25,,,,,,,5000 - 10000,car,0.0305448384287256
18 - 25,,,,,,,5000 - 10000,pt,0.16886134724827598
18 - 25,,,,,,,5000 - 10000,ride,0.012529534856484127
18 - 25,,,,,,,5000 - 10000,walk,0.001335058529996402
18 - 25,,,,,,,10000 - 20000,bike,0.002283609567549982
18 - 25,,,,,,,10000 - 20000,car,0.02354347014171086
18 - 25,,,,,,,10000 - 20000,pt,0.13983024203024946
18 - 25,,,,,,,10000 - 20000,ride,0.009738847778169043
18 - 25,,,,,,,10000 - 20000,walk,0.00046040347416503706
18 - 25,,,,,,,20000+,bike,0.0003598674743239825
18 - 25,,,,,,,20000+,car,0.019844536404905074
18 - 25,,,,,,,20000+,pt,0.05191307482568158
18 - 25,,,,,,,20000+,ride,0.0054414707774460185
18 - 25,,,,,,,20000+,walk,9.559874382553337e-05
25 - 35,,,,,,,0 - 1000,bike,0.02710671281214892
25 - 35,,,,,,,0 - 1000,car,0.0057994039547034845
25 - 35,,,,,,,0 - 1000,pt,0.001279341348825648
25 - 35,,,,,,,0 - 1000,ride,0.0009365409275199195
25 - 35,,,,,,,0 - 1000,walk,0.22308917916513984
25 - 35,,,,,,,1000 - 2000,bike,0.038879288211573826
25 - 35,,,,,,,1000 - 2000,car,0.015574030733198638
25 - 35,,,,,,,1000 - 2000,pt,0.014062407046561295
25 - 35,,,,,,,1000 - 2000,ride,0.0027015671389454218
25 - 35,,,,,,,1000 - 2000,walk,0.05276857867693636
25 - 35,,,,,,,2000 - 5000,bike,0.06756351305973912
25 - 35,,,,,,,2000 - 5000,car,0.0341919427125718
25 - 35,,,,,,,2000 - 5000,pt,0.07993094118194079
25 - 35,,,,,,,2000 - 5000,ride,0.006927040925022773
25 - 35,,,,,,,2000 - 5000,walk,0.014527745750548082
25 - 35,,,,,,,5000 - 10000,bike,0.04519783227041666
25 - 35,,,,,,,5000 - 10000,car,0.04092311464281495
25 - 35,,,,,,,5000 - 10000,pt,0.11711303425909293
25 - 35,,,,,,,5000 - 10000,ride,0.007459596516540125
25 - 35,,,,,,,5000 - 10000,walk,0.0011933932411686548
25 - 35,,,,,,,10000 - 20000,bike,0.010371145878011873
25 - 35,,,,,,,10000 - 20000,car,0.037122925967374674
25 - 35,,,,,,,10000 - 20000,pt,0.0830885319675897
25 - 35,,,,,,,10000 - 20000,ride,0.00427342214921809
25 - 35,,,,,,,10000 - 20000,walk,0.00046959104556907043
25 - 35,,,,,,,20000+,bike,0.0008650285684158126
25 - 35,,,,,,,20000+,car,0.022531312078687672
25 - 35,,,,,,,20000+,pt,0.04081677551162561
25 - 35,,,,,,,20000+,ride,0.003080042714773812
25 - 35,,,,,,,20000+,walk,0.00015601954332448127
35 - 66,,,,,,,0 - 1000,bike,0.040332771508063456
35 - 66,,,,,,,0 - 1000,car,0.01257661515762158
35 - 66,,,,,,,0 - 1000,pt,0.002627358555652047
35 - 66,,,,,,,0 - 1000,ride,0.001274292496410711
35 - 66,,,,,,,0 - 1000,walk,0.20652019924881693
35 - 66,,,,,,,1000 - 2000,bike,0.046077012040347726
35 - 66,,,,,,,1000 - 2000,car,0.028801869123512337
35 - 66,,,,,,,1000 - 2000,pt,0.014894709162723204
35 - 66,,,,,,,1000 - 2000,ride,0.00393142725073833
35 - 66,,,,,,,1000 - 2000,walk,0.04326782662357003
35 - 66,,,,,,,2000 - 5000,bike,0.061631621878577604
35 - 66,,,,,,,2000 - 5000,car,0.06587612217476327
35 - 66,,,,,,,2000 - 5000,pt,0.053970521291472305
35 - 66,,,,,,,2000 - 5000,ride,0.008515244305250143
35 - 66,,,,,,,2000 - 5000,walk,0.012613220763112581
35 - 66,,,,,,,5000 - 10000,bike,0.034913749435674296
35 - 66,,,,,,,5000 - 10000,car,0.07107640811792384
35 - 66,,,,,,,5000 - 10000,pt,0.07403986112593337
35 - 66,,,,,,,5000 - 10000,ride,0.0070144527175531445
35 - 66,,,,,,,5000 - 10000,walk,0.0016905536760423883
35 - 66,,,,,,,10000 - 20000,bike,0.010619744339555919
35 - 66,,,,,,,10000 - 20000,car,0.06001064856690114
35 - 66,,,,,,,10000 - 20000,pt,0.07015337993949035
35 - 66,,,,,,,10000 - 20000,ride,0.0050300495618203845
35 - 66,,,,,,,10000 - 20000,walk,0.0004717166408375984
35 - 66,,,,,,,20000+,bike,0.0008989376281988117
35 - 66,,,,,,,20000+,car,0.03165819643378093
35 - 66,,,,,,,20000+,pt,0.02653250556644344
35 - 66,,,,,,,20000+,ride,0.0027399916814560116
35 - 66,,,,,,,20000+,walk,0.00023899298775612217
66+,,,,,,,0 - 1000,bike,0.028917781379748875
66+,,,,,,,0 - 1000,car,0.01756905891685044
66+,,,,,,,0 - 1000,pt,0.008273204993617672
66+,,,,,,,0 - 1000,ride,0.004628191849485549
66+,,,,,,,0 - 1000,walk,0.2851630822571291
66+,,,,,,,1000 - 2000,bike,0.02854964969272559
66+,,,,,,,1000 - 2000,car,0.03882086040651397
66+,,,,,,,1000 - 2000,pt,0.0331697357735842
66+,,,,,,,1000 - 2000,ride,0.011117551434265606
66+,,,,,,,1000 - 2000,walk,0.06845936405951983
66+,,,,,,,2000 - 5000,bike,0.022205536519422444
66+,,,,,,,2000 - 5000,car,0.08261732385978052
66+,,,,,,,2000 - 5000,pt,0.0650551591678631
66+,,,,,,,2000 - 5000,ride,0.023067556374726784
66+,,,,,,,2000 - 5000,walk,0.01871777257889785
66+,,,,,,,5000 - 10000,bike,0.0060053800450549635
66+,,,,,,,5000 - 10000,car,0.0627074379519613
66+,,,,,,,5000 - 10000,pt,0.05292597833638581
66+,,,,,,,5000 - 10000,ride,0.0172732713428096
66+,,,,,,,5000 - 10000,walk,0.0020729972598010397
66+,,,,,,,10000 - 20000,bike,0.0020118745335472974
66+,,,,,,,10000 - 20000,car,0.03570337079193992
66+,,,,,,,10000 - 20000,pt,0.03652161682334497
66+,,,,,,,10000 - 20000,ride,0.011929475838790412
66+,,,,,,,10000 - 20000,walk,0.0009657233478543096
66+,,,,,,,20000+,bike,0.00025574980638623377
66+,,,,,,,20000+,car,0.01651491485906698
66+,,,,,,,20000+,pt,0.012176960792435333
66+,,,,,,,20000+,ride,0.006529537524723665
66+,,,,,,,20000+,walk,7.388148176658781e-05
,0 - 250,,,,,,0 - 1000,bike,0.02394457430286676
,0 - 250,,,,,,0 - 1000,car,0.0
,0 - 250,,,,,,0 - 1000,pt,0.006322872210095824
,0 - 250,,,,,,0 - 1000,ride,0.009816837813571379
,0 - 250,,,,,,0 - 1000,walk,0.26083819817842374
,0 - 250,,,,,,1000 - 2000,bike,0.08149559943455921
,0 - 250,,,,,,1000 - 2000,car,0.013765683822914274
,0 - 250,,,,,,1000 - 2000,pt,0.008152395594329143
,0 - 250,,,,,,1000 - 2000,ride,0.006881082802383619
,0 - 250,,,,,,1000 - 2000,walk,0.055074510204100584
,0 - 250,,,,,,2000 - 5000,bike,0.032199145796211616
,0 - 250,,,,,,2000 - 5000,car,0.03382603508054449
,0 - 250,,,,,,2000 - 5000,pt,0.1105013738605236
,0 - 250,,,,,,2000 - 5000,ride,0.028576640315617886
,0 - 250,,,,,,2000 - 5000,walk,0.01288981321695701
,0 - 250,,,,,,5000 - 10000,bike,0.034548631099417956
,0 - 250,,,,,,5000 - 10000,car,0.004615575123298268
,0 - 250,,,,,,5000 - 10000,pt,0.13995634829921155
,0 - 250,,,,,,5000 - 10000,ride,0.012091529745908667
,0 - 250,,,,,,5000 - 10000,walk,0.0
,0 - 250,,,,,,10000 - 20000,bike,0.0
,0 - 250,,,,,,10000 - 20000,car,0.01754118410207
,0 - 250,,,,,,10000 - 20000,pt,0.0944277437708348
,0 - 250,,,,,,10000 - 20000,ride,0.0
,0 - 250,,,,,,10000 - 20000,walk,0.0
,0 - 250,,,,,,20000+,bike,0.0
,0 - 250,,,,,,20000+,car,0.004009563887452867
,0 - 250,,,,,,20000+,pt,0.008524661338706618
,0 - 250,,,,,,20000+,ride,0.0
,0 - 250,,,,,,20000+,walk,0.0
,250 - 500,,,,,,0 - 1000,bike,0.029822153807092116
,250 - 500,,,,,,0 - 1000,car,0.007710185301724629
,250 - 500,,,,,,0 - 1000,pt,0.006273301693419439
,250 - 500,,,,,,0 - 1000,ride,0.0012482486271690057
,250 - 500,,,,,,0 - 1000,walk,0.20699880663722403
,250 - 500,,,,,,1000 - 2000,bike,0.045150392459309206
,250 - 500,,,,,,1000 - 2000,car,0.017519234955147452
,250 - 500,,,,,,1000 - 2000,pt,0.03398623493805548
,250 - 500,,,,,,1000 - 2000,ride,0.0063540038862269456
,250 - 500,,,,,,1000 - 2000,walk,0.05657519472218684
,250 - 500,,,,,,2000 - 5000,bike,0.05382937900548669
,250 - 500,,,,,,2000 - 5000,car,0.01652708606017538
,250 - 500,,,,,,2000 - 5000,pt,0.10572426790984359
,250 - 500,,,,,,2000 - 5000,ride,0.010551793861975495
,250 - 500,,,,,,2000 - 5000,walk,0.0116688575082531
,250 - 500,,,,,,5000 - 10000,bike,0.02681914870201004
,250 - 500,,,,,,5000 - 10000,car,0.01982810168553612
,250 - 500,,,,,,5000 - 10000,pt,0.1313081123397998
,250 - 500,,,,,,5000 - 10000,ride,0.013945206940399517
,250 - 500,,,,,,5000 - 10000,walk,0.0
,250 - 500,,,,,,10000 - 20000,bike,0.0020225093000168118
,250 - 500,,,,,,10000 - 20000,car,0.017056111512185508
,250 - 500,,,,,,10000 - 20000,pt,0.1111013058608137
,250 - 500,,,,,,10000 - 20000,ride,0.008600222535466832
,250 - 500,,,,,,10000 - 20000,walk,0.0033903090233754897
,250 - 500,,,,,,20000+,bike,0.0
,250 - 500,,,,,,20000+,car,0.015341415149173102
,250 - 500,,,,,,20000+,pt,0.03165815347321817
,250 - 500,,,,,,20000+,ride,0.008990262104715756
,250 - 500,,,,,,20000+,walk,0.0
,500 - 750,,,,,,0 - 1000,bike,0.03724183442449197
,500 - 750,,,,,,0 - 1000,car,0.0057461409881368435
,500 - 750,,,,,,0 - 1000,pt,0.012392668863532607
,500 - 750,,,,,,0 - 1000,ride,0.0021343961536089075
,500 - 750,,,,,,0 - 1000,walk,0.2545525148737494
,500 - 750,,,,,,1000 - 2000,bike,0.04428705101812134
,500 - 750,,,,,,1000 - 2000,car,0.01678495477539192
,500 - 750,,,,,,1000 - 2000,pt,0.03197521704796176
,500 - 750,,,,,,1000 - 2000,ride,0.008967752735699932
,500 - 750,,,,,,1000 - 2000,walk,0.07699827400439982
,500 - 750,,,,,,2000 - 5000,bike,0.055820544894198826
,500 - 750,,,,,,2000 - 5000,car,0.028820964076114657
,500 - 750,,,,,,2000 - 5000,pt,0.0984596835098517
,500 - 750,,,,,,2000 - 5000,ride,0.012809728390375377
,500 - 750,,,,,,2000 - 5000,walk,0.02332092378037156
,500 - 750,,,,,,5000 - 10000,bike,0.02513567420694173
,500 - 750,,,,,,5000 - 10000,car,0.023195001605077554
,500 - 750,,,,,,5000 - 10000,pt,0.10224063589869722
,500 - 750,,,,,,5000 - 10000,ride,0.005733598751333298
,500 - 750,,,,,,5000 - 10000,walk,0.0015824949417798768
,500 - 750,,,,,,10000 - 20000,bike,0.005553985358415669
,500 - 750,,,,,,10000 - 20000,car,0.013730944141689811
,500 - 750,,,,,,10000 - 20000,pt,0.07057517028241123
,500 - 750,,,,,,10000 - 20000,ride,0.004978504175387588
,500 - 750,,,,,,10000 - 20000,walk,0.0011213656457697877
,500 - 750,,,,,,20000+,bike,0.001002196620564933
,500 - 750,,,,,,20000+,car,0.006923903341326775
,500 - 750,,,,,,20000+,pt,0.0260562841105498
,500 - 750,,,,,,20000+,ride,0.0018575913840479879
,500 - 750,,,,,,20000+,walk,0.0
,750 - 1000,,,,,,0 - 1000,bike,0.03955477312042331
,750 - 1000,,,,,,0 - 1000,car,0.007662718394888721
,750 - 1000,,,,,,0 - 1000,pt,0.003370829580571908
,750 - 1000,,,,,,0 - 1000,ride,0.004593179100966666
,750 - 1000,,,,,,0 - 1000,walk,0.23348808994144468
,750 - 1000,,,,,,1000 - 2000,bike,0.04599960859975571
,750 - 1000,,,,,,1000 - 2000,car,0.018316089764566116
,750 - 1000,,,,,,1000 - 2000,pt,0.02807666932525493
,750 - 1000,,,,,,1000 - 2000,ride,0.011921861741791695
,750 - 1000,,,,,,1000 - 2000,walk,0.055764900333691074
,750 - 1000,,,,,,2000 - 5000,bike,0.05047777052663625
,750 - 1000,,,,,,2000 - 5000,car,0.04831047107520553
,750 - 1000,,,,,,2000 - 5000,pt,0.0838302137938576
,750 - 1000,,,,,,2000 - 5000,ride,0.026669948068734683
,750 - 1000,,,,,,2000 - 5000,walk,0.014941433873427694
,750 - 1000,,,,,,5000 - 10000,bike,0.018682511071435207
,750 - 1000,,,,,,5000 - 10000,car,0.036599787290134224
,750 - 1000,,,,,,5000 - 10000,pt,0.10329176949634497
,750 - 1000,,,,,,5000 - 10000,ride,0.01778772392834366
,750 - 1000,,,,,,5000 - 10000,walk,0.0021967790091032414
,750 - 1000,,,,,,10000 - 20000,bike,0.0053948739875297
,750 - 1000,,,,,,10000 - 20000,car,0.0308023882586679
,750 - 1000,,,,,,10000 - 20000,pt,0.06571500305902139
,750 - 1000,,,,,,10000 - 20000,ride,0.004659357275414433
,750 - 1000,,,,,,10000 - 20000,walk,0.00015909526503299096
,750 - 1000,,,,,,20000+,bike,0.0004210658580913305
,750 - 1000,,,,,,20000+,car,0.01174385623771075
,750 - 1000,,,,,,20000+,pt,0.024608319424115142
,750 - 1000,,,,,,20000+,ride,0.004851991038237482
,750 - 1000,,,,,,20000+,walk,0.00010692155960112274
,1000 - 1250,,,,,,0 - 1000,bike,0.03800516125867817
,1000 - 1250,,,,,,0 - 1000,car,0.008389929354305641
,1000 - 1250,,,,,,0 - 1000,pt,0.004486394475755556
,1000 - 1250,,,,,,0 - 1000,ride,0.002943592629949559
,1000 - 1250,,,,,,0 - 1000,walk,0.2531402055861083
,1000 - 1250,,,,,,1000 - 2000,bike,0.04615798137694766
,1000 - 1250,,,,,,1000 - 2000,car,0.01926025176201596
,1000 - 1250,,,,,,1000 - 2000,pt,0.02696467410577974
,1000 - 1250,,,,,,1000 - 2000,ride,0.008068259305456264
,1000 - 1250,,,,,,1000 - 2000,walk,0.05431280755866306
,1000 - 1250,,,,,,2000 - 5000,bike,0.051025919314408946
,1000 - 1250,,,,,,2000 - 5000,car,0.04229283847921349
,1000 - 1250,,,,,,2000 - 5000,pt,0.08584872387248565
,1000 - 1250,,,,,,2000 - 5000,ride,0.014695113573915819
,1000 - 1250,,,,,,2000 - 5000,walk,0.015797010844502867
,1000 - 1250,,,,,,5000 - 10000,bike,0.022412703389610853
,1000 - 1250,,,,,,5000 - 10000,car,0.04378110393808626
,1000 - 1250,,,,,,5000 - 10000,pt,0.0958624404026661
,1000 - 1250,,,,,,5000 - 10000,ride,0.011970445384165435
,1000 - 1250,,,,,,5000 - 10000,walk,0.001506967514001354
,1000 - 1250,,,,,,10000 - 20000,bike,0.005906833904200501
,1000 - 1250,,,,,,10000 - 20000,car,0.03148898952512969
,1000 - 1250,,,,,,10000 - 20000,pt,0.06519226797694337
,1000 - 1250,,,,,,10000 - 20000,ride,0.007356133169235629
,1000 - 1250,,,,,,10000 - 20000,walk,0.00048904745320862
,1000 - 1250,,,,,,20000+,bike,0.0004973050926733017
,1000 - 1250,,,,,,20000+,car,0.012861898248704757
